cID_DI,BP,RI,sense,DVG_type,length_dvg,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
--_10001_10001,10001,10001,--,Insertion_reverse,15385,1,0.00012642225031605562,0.00012642225031605562,0.00420180602026363,0,0.0,0.00012501562695336918,0.0
--_10003_10212,10003,10212,--,Deletion_reverse,15176,1,0.000125250501002004,0.00013010668748373666,0.00420180602026363,0,0.0,0.00012561236025624922,0.0
--_10008_10010,10008,10010,--,Deletion_reverse,15383,1,0.00012711325791280032,0.00012901561088891756,0.00420180602026363,0,0.0,0.00012769761205465457,0.0
--_10008_9874,10008,9874,--,Insertion_reverse,15519,1,0.00012711325791280032,0.00012512512512512512,0.00420180602026363,1,0.0001256281407035176,0.00012501562695336918,0.0064862061421388515
--_1000_1687,1000,1687,--,Deletion_reverse,14698,0,0.0,0.0,0.0,1,0.00012756729174639623,0.0,0.0064862061421388515
--_10015_1568,10015,1568,--,Insertion_reverse,23832,0,0.0,0.0,0.0,1,0.000125344697919278,0.0,0.0064862061421388515
--_10015_9863,10015,9863,--,Insertion_reverse,15537,0,0.0,0.0,0.0,1,0.000125344697919278,0.0,0.0064862061421388515
--_1001_1090,1001,1090,--,Deletion_reverse,15296,1,0.00012596044841919638,0.00013094146916328402,0.00420180602026363,2,0.00026232948583420777,0.00012679092177000128,0.012972412284277703
--_10026_10029,10026,10029,--,Deletion_reverse,15382,3,0.00039308176100628933,0.0003755633450175263,0.01260541806079089,0,0.0,0.0003759869657851861,0.0
--_10027_10029,10027,10029,--,Deletion_reverse,15383,9,0.0012263251124131353,0.001126690035052579,0.037816254182372666,0,0.0,0.0011279608973555583,0.0
--_10027_9883,10027,9883,--,Insertion_reverse,15529,0,0.0,0.0,0.0,1,0.00012615112905260502,0.0,0.0064862061421388515
--_1002_1476,1002,1476,--,Deletion_reverse,14911,0,0.0,0.0,0.0,2,0.00025568908207619537,0.0,0.012972412284277703
--_1002_573,1002,573,--,Insertion_reverse,15814,1,0.00012605571662674902,0.0001252661906551422,0.00420180602026363,1,0.00012784454103809768,0.0001252975817566721,0.0064862061421388515
--_1002_762,1002,762,--,Insertion_reverse,15625,0,0.0,0.0,0.0,1,0.00012784454103809768,0.0,0.0064862061421388515
--_1002_841,1002,841,--,Insertion_reverse,15546,0,0.0,0.0,0.0,1,0.00012784454103809768,0.0,0.0064862061421388515
--_10030_13027,10030,13027,--,Deletion_reverse,12388,0,0.0,0.0,0.0,1,0.00012512512512512512,0.0,0.0064862061421388515
--_10032_10034,10032,10034,--,Deletion_reverse,15383,1,0.00012517211165352359,0.00012873326467559217,0.00420180602026363,0,0.0,0.00012655024044545685,0.0
--_10033_10057,10033,10057,--,Deletion_reverse,15361,1,0.00012578616352201257,0.00012906556530717606,0.00420180602026363,1,0.0001250625312656328,0.00012746972594008922,0.0064862061421388515
--_10036_10038,10036,10038,--,Deletion_reverse,15383,1,0.000125250501002004,0.00013227513227513228,0.00420180602026363,0,0.0,0.00012833675564681725,0.0
