cID_DI,sense,BP,RI,DVG_type,read_counts_virema,read_counts_ditector,pBP_virema,pRI_virema,pBP_ditector,pRI_ditector,rpht_virema,rpht_ditector,length_dvg,p(real)
--_10042_10044,--,10042,10044,Deletion_reverse,1,0,0.00012742099898063202,0.00012642225031605562,0.0,0.0001250625312656328,0.005098789817533178,0.0,15383,0.7192189435400093
--_10042_11837,--,10042,11837,Deletion_reverse,1,2,0.00012742099898063202,0.0001256281407035176,0.00025021894157387716,0.00012853470437017994,0.005098789817533178,0.01594634755686408,13590,0.5435392195085644
--_10049_10051,--,10049,10051,Deletion_reverse,1,0,0.000126806999746386,0.00013833171946327292,0.0,0.00012594458438287153,0.005098789817533178,0.0,15383,0.6721740868635556
--_10050_10052,--,10050,10052,Deletion_reverse,1,0,0.00012703252032520327,0.0001278118609406953,0.0,0.000125,0.005098789817533178,0.0,15383,0.6197399696421937
--_10055_10058,--,10055,10058,Deletion_reverse,2,0,0.00025799793601651185,0.00025396825396825396,0.0,0.00025157232704402514,0.010197579635066355,0.0,15382,0.7645613283890123
--_10059_10061,--,10059,10061,Deletion_reverse,3,0,0.0003804692454026633,0.0003816308357715303,0.0,0.0003871966959215281,0.015296369452599533,0.0,15383,0.7068608745648324
--_1005_1025,--,1005,1025,Deletion_reverse,1,0,0.00012629451881788332,0.00012883277505797475,0.0,0.0001286008230452675,0.005098789817533178,0.0,15365,0.6316071155992041
--_1005_865,--,1005,865,Insertion_reverse,1,1,0.00012629451881788332,0.00012517211165352359,0.00012539184952978057,0.00012510947078693858,0.005098789817533178,0.00797317377843204,15525,0.5718398325702541
--_10063_10065,--,10063,10065,Deletion_reverse,2,0,0.000255656397801355,0.00025749967812540236,0.0,0.0002599428125812321,0.010197579635066355,0.0,15383,0.7140161703395875
--_10063_9917,--,10063,9917,Insertion_reverse,2,1,0.000255656397801355,0.00026246719160104987,0.00012596044841919638,0.00025303643724696357,0.010197579635066355,0.00797317377843204,15531,0.5925223906851863
--_10074_10077,--,10074,10077,Deletion_reverse,1,0,0.00012653422750854106,0.00012651821862348178,0.0,0.00012510947078693858,0.005098789817533178,0.0,15382,0.6349418341613191
--_10075_10077,--,10075,10077,Deletion_reverse,4,0,0.0005054334091483447,0.0005060728744939271,0.0,0.0005004378831477543,0.02039515927013271,0.0,15383,0.7872712142084387
--_10076_10076,--,10076,10076,Insertion_reverse,1,0,0.0001264702162640698,0.0001264702162640698,0.0,0.00012640626975097966,0.005098789817533178,0.0,15385,0.6947035789180522
--_10076_10078,--,10076,10078,Deletion_reverse,1,0,0.0001264702162640698,0.0001272426517368622,0.0,0.00012542330364981815,0.005098789817533178,0.0,15383,0.6915721958363655
--_10077_10080,--,10077,10080,Deletion_reverse,2,0,0.00025303643724696357,0.0002549069589599796,0.0,0.0002518574486840448,0.010197579635066355,0.0,15382,0.7090153572451717
--_10084_10086,--,10084,10086,Deletion_reverse,4,0,0.00051513200257566,0.0005165956347668862,0.0,0.0005047955577990914,0.02039515927013271,0.0,15383,0.7486581818799575
--_10091_10094,--,10091,10094,Deletion_reverse,3,0,0.0003803727653100038,0.0003792188092529389,0.0,0.00037831021437578815,0.015296369452599533,0.0,15382,0.7329932105076236
--_10098_10100,--,10098,10100,Deletion_reverse,1,0,0.00013039509714434736,0.0001264702162640698,0.0,0.00013189132155104195,0.005098789817533178,0.0,15383,0.7093946290508338
--_1009_1118,--,1009,1118,Deletion_reverse,1,1,0.00012898232942086933,0.00012903225806451613,0.0001279263144428809,0.0001292824822236587,0.005098789817533178,0.00797317377843204,15276,0.5592272245505229
--_10100_10102,--,10100,10102,Deletion_reverse,2,0,0.0002529404325281396,0.0002563445270443476,0.0,0.0002603149811271639,0.010197579635066355,0.0,15383,0.713815656512147
--_10103_10105,--,10103,10105,Deletion_reverse,1,0,0.00012725884448969204,0.0001268874508311128,0.0,0.00012584948401711554,0.005098789817533178,0.0,15383,0.5768644011517831
--_10109_10111,--,10109,10111,Deletion_reverse,10,0,0.0012742099898063201,0.0012695188523549575,0.0,0.0012960082944530845,0.05098789817533178,0.0,15383,0.7086459130727022
--_10111_10113,--,10111,10113,Deletion_reverse,1,0,0.00012695188523549576,0.00012674271229404308,0.0,0.000125203455615375,0.005098789817533178,0.0,15383,0.7164624250037117
--_1011_1080,--,1011,1080,Deletion_reverse,1,4,0.0001272264631043257,0.00012591286829513975,0.0005108556832694764,0.00012548625925461163,0.005098789817533178,0.03189269511372816,15316,0.5183069442684793
--_1018_12455,--,1018,12455,Deletion_reverse,1,3,0.00013948946854512484,0.0001259287243420224,0.0004108463434675431,0.00012874983906270118,0.005098789817533178,0.023919521335296113,3948,0.5317981132835484
--_10212_10215,--,10212,10215,Deletion_reverse,1,0,0.00013138877939823938,0.00013218770654329148,0.0,0.00012540757461750688,0.005098789817533178,0.0,15382,0.6231163532467057
--_10226_10228,--,10226,10228,Deletion_reverse,1,0,0.00012879958784131891,0.00012746972594008922,0.0,0.0001268713524486171,0.005098789817533178,0.0,15383,0.7059449782665592
--_10227_13902,--,10227,13902,Deletion_reverse,1,0,0.00012629451881788332,0.00012577034335303736,0.0,0.000125203455615375,0.005098789817533178,0.0,11710,0.6644362193529247
--_10238_10241,--,10238,10241,Deletion_reverse,1,0,0.00012627857052658164,0.00012629451881788332,0.0,0.00012623074981065388,0.005098789817533178,0.0,15382,0.6415963144887814
--_10239_10241,--,10239,10241,Deletion_reverse,3,0,0.00037917087967644087,0.0003788835564536499,0.0,0.0003786922494319616,0.015296369452599533,0.0,15383,0.6834329982568408
--_1023_1458,--,1023,1458,Deletion_reverse,1,0,0.00012564392511622062,0.0001252975817566721,0.0,0.00012626262626262626,0.005098789817533178,0.0,14950,0.7704416319427204
--_10240_10240,--,10240,10240,Insertion_reverse,1,0,0.00012632642748863063,0.00012632642748863063,0.0,0.00012627857052658164,0.005098789817533178,0.0,15385,0.6344639833258353
--_10241_10243,--,10241,10243,Deletion_reverse,1,0,0.00012629451881788332,0.00012672665061462426,0.0,0.00012515644555694618,0.005098789817533178,0.0,15383,0.6240945865290539
--_10242_10244,--,10242,10244,Deletion_reverse,1,0,0.00012658227848101267,0.00012645422357106728,0.0,0.00012807377049180329,0.005098789817533178,0.0,15383,0.6307394246294262
--_10260_10264,--,10260,10264,Deletion_reverse,1,0,0.00014448779078167894,0.00012621481761958855,0.0,0.00012501562695336918,0.005098789817533178,0.0,15381,0.549711902733179
--_10269_10271,--,10269,10271,Deletion_reverse,3,0,0.0003790271636133923,0.0003787400580734756,0.0,0.0003894586524730624,0.015296369452599533,0.0,15383,0.5293382698721778
--_1028_1054,--,1028,1054,Deletion_reverse,1,0,0.00012717792191275595,0.00012547051442910915,0.0,0.00012501562695336918,0.005098789817533178,0.0,15359,0.5792675178345714
--_1029_574,--,1029,574,Insertion_reverse,1,1,0.00012600806451612903,0.00012523481527864746,0.00013484358144552318,0.000125,0.005098789817533178,0.00797317377843204,15840,0.5837200861009455
--_102_1087,--,102,1087,Deletion_reverse,1,1,0.00012711325791280032,0.00012569130216189038,0.0001252975817566721,0.00012507817385866166,0.005098789817533178,0.00797317377843204,14400,0.6728757939085313
--_1030_1043,--,1030,1043,Deletion_reverse,1,0,0.00012539184952978057,0.00013886960144424384,0.0,0.0001250625312656328,0.005098789817533178,0.0,15372,0.6279524044948046
--_1030_1051,--,1030,1051,Deletion_reverse,1,0,0.00012539184952978057,0.00012561236025624922,0.0,0.00012510947078693858,0.005098789817533178,0.0,15364,0.6534491154420319
--_10322_10324,--,10322,10324,Deletion_reverse,2,0,0.00025230225810521004,0.00025258903763576663,0.0,0.00025157232704402514,0.010197579635066355,0.0,15383,0.6724959814903545
--_10323_10492,--,10323,10492,Deletion_reverse,1,1,0.00012626262626262626,0.00012619888944977284,0.0001255020080321285,0.0001250625312656328,0.005098789817533178,0.00797317377843204,15216,0.6375486581279625
--_10324_10494,--,10324,10494,Deletion_reverse,1,0,0.00012629451881788332,0.00012616704516780217,0.0,0.00012753475322025253,0.005098789817533178,0.0,15215,0.691299832167531
--_1032_1035,--,1032,1035,Deletion_reverse,1,0,0.00012605571662674902,0.0001256281407035176,0.0,0.0001257387149503332,0.005098789817533178,0.0,15382,0.524635528500933
--_10331_10334,--,10331,10334,Deletion_reverse,1,0,0.00012626262626262626,0.00013950892857142856,0.0,0.00012572290671360322,0.005098789817533178,0.0,15382,0.6222416281629145
--_10334_10336,--,10334,10336,Deletion_reverse,1,0,0.00013950892857142856,0.00012655024044545685,0.0,0.00012756729174639623,0.005098789817533178,0.0,15383,0.6729814676458282
